tweet_textall_hashtags

"b'@JetBlue Sun. 10/20 I was on #JetBlue #892 from TPA to BOS. Flight attendent, Clark, made a point to introduce himself to every passenger on the plane, shake their hand, and ask their name.  He wanted to make sure every person was happy &amp; comfortable. customer service Clark!! https://t.co/C9vRklA4Tn'",['JetBlue']
,
b'heading h\xe2\x99\xa1me.   #Chanel #JetBlue #Supreme #JambaJuice https://t.co/zLkDKZYnjz',"['Chanel', 'JetBlue', 'Supreme', 'JambaJuice']"
,
"b'Red Carpet, opening night of @biseriesland !!  . . #seriesland #miamiwebfest #biseriesland #roseofdolls #bilbao #bilborock #cascoviejo #iberia #jetblue #bryangthompson #degreenorthhair #imanifilms #spain #espa\xc3\xb1a #filmfestival #webfest #coldlightfilm #lakatanafilms https://t.co/Vtcl2RACGl'","['seriesland', 'miamiwebfest', 'biseriesland', 'roseofdolls', 'bilbao', 'bilborock', 'cascoviejo', 'iberia', 'jetblue', 'bryangthompson', 'degreenorthhair', 'imanifilms', 'spain', 'españa', 'filmfestival', 'webfest', 'coldlightfilm', 'lakatanafilms']"
,
"b'Red Carpet, opening night of @biseriesland !!  . . #seriesland #miamiwebfest #biseriesland #roseofdolls #bilbao #bilborock #cascoviejo #iberia #jetblue #bryangthompson #degreenorthhair #imanifilms #spain #espa\xc3\xb1a #filmfestival #webfest #coldlightfilm #lakatanafilms https://t.co/osIlEpk2Ut'","['seriesland', 'miamiwebfest', 'biseriesland', 'roseofdolls', 'bilbao', 'bilborock', 'cascoviejo', 'iberia', 'jetblue', 'bryangthompson', 'degreenorthhair', 'imanifilms', 'spain', 'españa', 'filmfestival', 'webfest', 'coldlightfilm', 'lakatanafilms']"
,
"b'Red Carpet, opening night of @biseriesland !!  . . #seriesland #miamiwebfest #biseriesland #roseofdolls #bilbao #bilborock #cascoviejo #iberia #jetblue #bryangthompson #degreenorthhair #imanifilms #spain #espa\xc3\xb1a #filmfestival #webfest #coldlightfilm #lakatanafilms https://t.co/qhyAefak3T'","['seriesland', 'miamiwebfest', 'biseriesland', 'roseofdolls', 'bilbao', 'bilborock', 'cascoviejo', 'iberia', 'jetblue', 'bryangthompson', 'degreenorthhair', 'imanifilms', 'spain', 'españa', 'filmfestival', 'webfest', 'coldlightfilm', 'lakatanafilms']"
,
"b'Red Carpet, opening night of @biseriesland !!  . . #seriesland #miamiwebfest #biseriesland #roseofdolls #bilbao #bilborock #cascoviejo #iberia #jetblue #bryangthompson #degreenorthhair #imanifilms #spain #espa\xc3\xb1a #filmfestival #webfest #coldlightfilm #lakatanafilms https://t.co/4AnOWoHcPL'","['seriesland', 'miamiwebfest', 'biseriesland', 'roseofdolls', 'bilbao', 'bilborock', 'cascoviejo', 'iberia', 'jetblue', 'bryangthompson', 'degreenorthhair', 'imanifilms', 'spain', 'españa', 'filmfestival', 'webfest', 'coldlightfilm', 'lakatanafilms']"
,
b'JetBlue ESA Policy- Presenting Their Detailed Flying Requirements  To know more about check the link in bio. #jetblue #esa #pet #petlovers #emotionalsupportanimal https://t.co/aDp3BfsBTr https://t.co/FMo7UUW8Of',"['jetblue', 'esa', 'pet', 'petlovers', 'emotionalsupportanimal']"
,
b'#Jetblue Gate #Agent #Could Get 20 #Years for #Ticket Scam https://t.co/zwoX3wi10F https://t.co/cym8GvKryG',"['Jetblue', 'Agent', 'Could', 'Years', 'Ticket']"
,
"b""Airline #JetBlue Employee Committed $7,85,000 Fraud By Upgrading Family's #Tickets   https://t.co/glnPlomus3""","['JetBlue', 'Tickets']"
,
"b""One flew over the cuckoo's nest  Some flew blue (JetBlue) Some South West. #JetBlue  Here's some unrefined marketing for you; from the children's rhyme and how the great book; One Flew Over the Cuckoo's Nest begins.""",['JetBlue']
,
b'Charm to Paradise and back...in less than 2 hours \xe2\x98\x80\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f\xf0\x9f\x8c\xb4 #My3Favs #CHS #FLL #JetBlue \xf0\x9f\x98\x89 https://t.co/5MuzTZJUr6',"['My3Favs', 'CHS', 'FLL', 'JetBlue']"
,
b'On our plane for #Boston! #jetblue #jetblue1152 #bostonbound #shippinguptoboston #orlandofl #orlandointernationalairport #mco #bos #meganandsonik #sonik0731 @jetblue flymco @ Orlando International Airport (MCO) https://t.co/EBMoOXeWzd',"['Boston', 'jetblue', 'jetblue1152', 'bostonbound', 'shippinguptoboston', 'orlandofl', 'orlandointernationalairport', 'mco', 'bos', 'meganandsonik', 'sonik0731']"
,
b'Heading home. #JetBlue we love you!!!! https://t.co/vngjgGaASq',['JetBlue']
,
b'@united This experience reminds me of the cattle in the semis on I70. Maybe the new slogan for United should be the cattle transport. 8 years flying with #southwest and #jetblue and never parked. #customerorcattle',"['southwest', 'jetblue', 'customerorcattle']"
,
